timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.434,0.0256,0.0257,0.2682,0.2776,0.0055,0.0709,0.0009,0.0179,0.0390,0.0040,0.0016,0.0132,0.0256,0.0147,0.0008,0.0008,0.0055,0.2174,0.0199,0.0253,0.0378,0.0257,0.1371,0.0995,0.0597,0.0319,0.0140,0.0649,0.0022,0.0375,0.2776,0.2763,0.0008,0.0004,0.0031,0.2763,0.2776,0.0314,0.0022,0.0211,0.0523,0.0350,0.0007,0.0632,0.0132,0.2682,0.4619,0.4619,0.0476,0.1158,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.468,0.0256,0.0257,0.2682,0.2776,0.0055,0.0709,0.0009,0.0179,0.0390,0.0040,0.0016,0.0132,0.0256,0.0147,0.0008,0.0008,0.0055,0.2174,0.0199,0.0253,0.0378,0.0257,0.1371,0.0995,0.0597,0.0319,0.0140,0.0649,0.0022,0.0375,0.2776,0.2763,0.0008,0.0004,0.0031,0.2763,0.2776,0.0314,0.0022,0.0211,0.0523,0.0350,0.0007,0.0632,0.0132,0.2682,0.4619,0.4619,0.0476,0.1158,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.501,0.0257,0.0253,0.2683,0.2764,0.0054,0.0709,0.0009,0.0179,0.0390,0.0040,0.0016,0.0130,0.0257,0.0147,0.0008,0.0008,0.0054,0.2174,0.0200,0.0252,0.0377,0.0257,0.1371,0.1040,0.0597,0.0319,0.0138,0.0641,0.0022,0.0372,0.2764,0.2761,0.0008,0.0004,0.0031,0.2761,0.2764,0.0305,0.0021,0.0211,0.0517,0.0351,0.0007,0.0632,0.0130,0.2683,0.4597,0.4597,0.0476,0.1192,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.547,0.0253,0.0261,0.2708,0.2702,0.0056,0.0708,0.0009,0.0179,0.0389,0.0040,0.0016,0.0129,0.0253,0.0155,0.0008,0.0008,0.0056,0.2210,0.0201,0.0251,0.0382,0.0256,0.1372,0.1043,0.0596,0.0319,0.0136,0.0641,0.0021,0.0374,0.2702,0.2728,0.0008,0.0004,0.0030,0.2728,0.2702,0.0307,0.0021,0.0210,0.0517,0.0351,0.0007,0.0633,0.0129,0.2708,0.4295,0.4295,0.0475,0.1195,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.590,0.0253,0.0246,0.2717,0.2708,0.0057,0.0705,0.0009,0.0179,0.0387,0.0040,0.0016,0.0129,0.0253,0.0148,0.0008,0.0008,0.0057,0.2379,0.0279,0.0251,0.0382,0.0255,0.1372,0.1071,0.0596,0.0324,0.0135,0.0632,0.0021,0.0374,0.2708,0.2716,0.0008,0.0004,0.0030,0.2716,0.2708,0.0308,0.0021,0.0210,0.0508,0.0351,0.0007,0.0635,0.0129,0.2717,0.4306,0.4306,0.0474,0.1220,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.625,0.0252,0.0239,0.2734,0.2704,0.0055,0.0705,0.0009,0.0178,0.0386,0.0039,0.0016,0.0128,0.0252,0.0142,0.0008,0.0008,0.0055,0.2406,0.0278,0.0250,0.0381,0.0254,0.1371,0.1015,0.0595,0.0324,0.0133,0.0672,0.0020,0.0373,0.2704,0.2724,0.0008,0.0004,0.0029,0.2724,0.2704,0.0307,0.0020,0.0210,0.0547,0.0352,0.0007,0.0636,0.0128,0.2734,0.4315,0.4315,0.0473,0.1170,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.670,0.0252,0.0280,0.2739,0.2715,0.0057,0.0704,0.0009,0.0178,0.0385,0.0038,0.0016,0.0128,0.0252,0.0173,0.0008,0.0008,0.0057,0.2399,0.0262,0.0249,0.0416,0.0254,0.1417,0.1019,0.0595,0.0325,0.0132,0.0668,0.0020,0.0376,0.2715,0.2702,0.0008,0.0004,0.0029,0.2702,0.2715,0.0311,0.0020,0.0208,0.0544,0.0352,0.0007,0.0636,0.0128,0.2739,0.4360,0.4360,0.0472,0.1177,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.713,0.0254,0.0277,0.2751,0.2742,0.0057,0.0704,0.0009,0.0178,0.0385,0.0038,0.0016,0.0128,0.0254,0.0171,0.0008,0.0008,0.0057,0.2394,0.0262,0.0248,0.0416,0.0253,0.1420,0.1014,0.0595,0.0326,0.0131,0.0670,0.0020,0.0378,0.2742,0.2700,0.0008,0.0004,0.0028,0.2700,0.2742,0.0316,0.0020,0.0209,0.0545,0.0353,0.0007,0.0636,0.0128,0.2751,0.4423,0.4423,0.0471,0.1174,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.747,0.0255,0.0276,0.2751,0.2754,0.0055,0.0703,0.0009,0.0178,0.0384,0.0037,0.0016,0.0128,0.0255,0.0170,0.0008,0.0008,0.0055,0.2394,0.0258,0.0248,0.0416,0.0252,0.1418,0.0996,0.0594,0.0326,0.0129,0.0703,0.0019,0.0373,0.2754,0.2693,0.0008,0.0004,0.0028,0.2693,0.2754,0.0315,0.0019,0.0208,0.0576,0.0353,0.0007,0.0638,0.0128,0.2751,0.4437,0.4437,0.0470,0.1156,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.792,0.0256,0.0275,0.2754,0.2755,0.0057,0.0702,0.0009,0.0178,0.0381,0.0037,0.0016,0.0128,0.0256,0.0169,0.0008,0.0008,0.0057,0.2412,0.0259,0.0247,0.0459,0.0251,0.1458,0.0972,0.0593,0.0326,0.0128,0.0713,0.0019,0.0373,0.2755,0.2678,0.0008,0.0004,0.0028,0.2678,0.2755,0.0315,0.0019,0.0206,0.0586,0.0353,0.0007,0.0639,0.0128,0.2754,0.4448,0.4448,0.0468,0.1134,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
