timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.424,0.0556,0.5428,0.1708,0.4887,0.0002,0.1159,0.7162,0.0236,0.2096,0.0266,0.0678,0.0282,0.0556,0.5004,0.0010,0.0008,0.0002,0.0020,0.0321,0.4757,0.0675,0.4610,0.0382,0.0172,0.0128,0.0020,0.0354,0.0327,0.0043,0.0021,0.4887,0.1172,0.0018,0.0018,0.0022,0.1172,0.4887,0.0048,0.0043,0.2113,0.0406,0.0257,0.0015,0.0044,0.0282,0.1708,0.1426,0.1426,0.0194,0.0138,0.7093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.458,0.0551,0.5406,0.1732,0.4931,0.0002,0.1157,0.7154,0.0236,0.2096,0.0266,0.0677,0.0282,0.0551,0.4976,0.0010,0.0008,0.0002,0.0019,0.0320,0.4757,0.0677,0.4610,0.0382,0.0170,0.0128,0.0020,0.0354,0.0329,0.0042,0.0021,0.4931,0.1172,0.0018,0.0018,0.0022,0.1172,0.4931,0.0047,0.0042,0.2113,0.0407,0.0253,0.0015,0.0043,0.0282,0.1732,0.1344,0.1344,0.0194,0.0135,0.7088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.492,0.0551,0.5381,0.1645,0.4548,0.0001,0.1156,0.7155,0.0235,0.2088,0.0261,0.0667,0.0280,0.0551,0.4947,0.0010,0.0008,0.0001,0.0019,0.0320,0.4757,0.0694,0.4611,0.0382,0.0170,0.0128,0.0019,0.0355,0.0336,0.0040,0.0020,0.4548,0.1164,0.0018,0.0018,0.0022,0.1164,0.4548,0.0046,0.0040,0.2101,0.0414,0.0254,0.0014,0.0043,0.0280,0.1645,0.2832,0.2832,0.0194,0.0133,0.7090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.536,0.0551,0.5334,0.1332,0.4191,0.0001,0.1156,0.7155,0.0235,0.2087,0.0256,0.0666,0.0278,0.0551,0.4909,0.0010,0.0008,0.0001,0.0019,0.0320,0.4758,0.0703,0.4615,0.0386,0.0170,0.0128,0.0019,0.0355,0.0336,0.0039,0.0020,0.4191,0.1095,0.0018,0.0018,0.0022,0.1095,0.4191,0.0044,0.0039,0.2099,0.0414,0.0254,0.0014,0.0042,0.0278,0.1332,0.3504,0.3504,0.0193,0.0133,0.7090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.581,0.0550,0.5241,0.0777,0.3862,0.0043,0.1155,0.7107,0.0234,0.2085,0.0254,0.0647,0.0286,0.0550,0.4813,0.0010,0.0008,0.0043,0.0019,0.0320,0.4758,0.0703,0.4615,0.0383,0.0166,0.0128,0.0019,0.0355,0.0339,0.0038,0.0020,0.3862,0.1096,0.0018,0.0018,0.0022,0.1096,0.3862,0.0044,0.0038,0.2097,0.0416,0.0255,0.0014,0.0041,0.0286,0.0777,0.3729,0.3729,0.0193,0.0129,0.7047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.615,0.0551,0.5235,0.0566,0.4058,0.0187,0.1154,0.7020,0.0234,0.2066,0.0251,0.0621,0.1654,0.0551,0.4806,0.0010,0.0008,0.0187,0.0018,0.0321,0.4759,0.0698,0.4617,0.0379,0.0165,0.0128,0.0019,0.0356,0.0340,0.0740,0.0020,0.4058,0.1189,0.0018,0.0017,0.0022,0.1189,0.4058,0.0046,0.0740,0.2081,0.0417,0.0251,0.0014,0.0042,0.1654,0.0566,0.0332,0.0332,0.0193,0.0128,0.6957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.659,0.0546,0.5235,0.0480,0.4218,0.0356,0.1150,0.7021,0.0233,0.2076,0.0250,0.0609,0.2763,0.0546,0.4805,0.0010,0.0008,0.0356,0.0018,0.0322,0.4797,0.0691,0.4644,0.0376,0.0165,0.0128,0.0018,0.0356,0.0340,0.1245,0.0019,0.4218,0.1472,0.0017,0.0017,0.0021,0.1472,0.4218,0.0054,0.1245,0.2097,0.0417,0.0251,0.0014,0.0046,0.2763,0.0480,0.0314,0.0314,0.0193,0.0128,0.6959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.692,0.0546,0.5235,0.0480,0.4218,0.0356,0.1150,0.7021,0.0233,0.2076,0.0250,0.0609,0.2763,0.0546,0.4805,0.0010,0.0008,0.0356,0.0018,0.0322,0.4797,0.0691,0.4644,0.0376,0.0165,0.0128,0.0018,0.0356,0.0340,0.1245,0.0019,0.4218,0.1472,0.0017,0.0017,0.0021,0.1472,0.4218,0.0054,0.1245,0.2097,0.0417,0.0251,0.0014,0.0046,0.2763,0.0480,0.0314,0.0314,0.0193,0.0128,0.6959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.726,0.0546,0.5300,0.0431,0.4350,0.0338,0.1144,0.6933,0.0233,0.2065,0.0268,0.0602,0.2963,0.0546,0.4840,0.0010,0.0008,0.0338,0.0018,0.0322,0.4797,0.0690,0.4644,0.0366,0.0155,0.0128,0.0018,0.0356,0.0345,0.0953,0.0019,0.4350,0.1597,0.0017,0.0017,0.0021,0.1597,0.4350,0.0088,0.0953,0.2093,0.0418,0.0248,0.0014,0.0047,0.2963,0.0431,0.0314,0.0314,0.0192,0.0120,0.6894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.769,0.0551,0.5426,0.0398,0.4457,0.0432,0.1136,0.6930,0.0232,0.2065,0.0272,0.0598,0.2940,0.0551,0.4936,0.0010,0.0008,0.0432,0.0018,0.0322,0.4814,0.0690,0.4661,0.0365,0.0155,0.0128,0.0018,0.0356,0.0346,0.1082,0.0019,0.4457,0.1548,0.0017,0.0017,0.0021,0.1548,0.4457,0.0127,0.1082,0.2093,0.0418,0.0249,0.0014,0.0047,0.2940,0.0398,0.0289,0.0289,0.0192,0.0120,0.6892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
