timestamp,eyeLookDownLeft,noseSneerLeft,eyeLookInLeft,browInnerUp,browDownRight,mouthClose,mouthLowerDownRight,jawOpen,mouthUpperUpRight,mouthShrugUpper,mouthFunnel,eyeLookInRight,eyeLookDownRight,noseSneerRight,mouthRollUpper,jawRight,browDownLeft,mouthShrugLower,mouthRollLower,mouthSmileLeft,mouthPressLeft,mouthSmileRight,mouthPressRight,mouthDimpleRight,mouthLeft,jawForward,eyeSquintLeft,mouthFrownLeft,eyeBlinkLeft,cheekSquintLeft,browOuterUpLeft,eyeLookUpLeft,jawLeft,mouthStretchLeft,mouthPucker,eyeLookUpRight,browOuterUpRight,cheekSquintRight,eyeBlinkRight,mouthUpperUpLeft,mouthFrownRight,eyeSquintRight,mouthStretchRight,cheekPuff,eyeLookOutLeft,eyeLookOutRight,eyeWideRight,eyeWideLeft,mouthRight,mouthDimpleLeft,mouthLowerDownLeft,tongueOut,viseme_PP,viseme_CH,viseme_o,viseme_O,viseme_i,viseme_I,viseme_RR,viseme_XX,viseme_aa,viseme_FF,viseme_u,viseme_U,viseme_TH,viseme_kk,viseme_SS,viseme_e,viseme_DD,viseme_E,viseme_nn,viseme_sil
0.423,0.0473,0.4015,0.0695,0.0680,0.0316,0.0801,0.0027,0.0179,0.0124,0.0895,0.0190,0.0316,0.0473,0.3375,0.0004,0.0012,0.0316,0.0291,0.0027,0.2447,0.5791,0.2059,0.2775,0.1304,0.0143,0.0120,0.0501,0.0023,0.0037,0.0017,0.0680,0.2118,0.0013,0.0005,0.0006,0.2118,0.0680,0.0363,0.0037,0.0057,0.0022,0.0513,0.0004,0.0367,0.0316,0.0695,0.0965,0.0965,0.0206,0.1053,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.466,0.0472,0.4018,0.0700,0.0694,0.0286,0.0801,0.0027,0.0179,0.0123,0.0876,0.0190,0.0315,0.0472,0.3376,0.0004,0.0012,0.0286,0.0245,0.0027,0.2446,0.5789,0.2057,0.2765,0.1355,0.0143,0.0119,0.0501,0.0023,0.0036,0.0017,0.0694,0.2109,0.0013,0.0005,0.0006,0.2109,0.0694,0.0360,0.0036,0.0056,0.0022,0.0513,0.0004,0.0367,0.0315,0.0700,0.0984,0.0984,0.0205,0.1097,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.500,0.0472,0.4063,0.0713,0.0663,0.0250,0.0800,0.0026,0.0178,0.0123,0.0874,0.0190,0.0315,0.0472,0.3413,0.0004,0.0012,0.0250,0.0223,0.0027,0.2443,0.5781,0.2054,0.2697,0.1431,0.0142,0.0119,0.0487,0.0023,0.0034,0.0017,0.0663,0.2120,0.0013,0.0005,0.0006,0.2120,0.0663,0.0338,0.0034,0.0054,0.0021,0.0513,0.0004,0.0367,0.0315,0.0713,0.0906,0.0906,0.0205,0.1160,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.544,0.0472,0.4067,0.0608,0.0804,0.0236,0.0800,0.0026,0.0178,0.0115,0.0865,0.0190,0.0715,0.0472,0.3415,0.0004,0.0012,0.0236,0.0195,0.0026,0.2441,0.5766,0.2053,0.2661,0.1514,0.0142,0.0119,0.0476,0.0022,0.0033,0.0017,0.0804,0.2192,0.0013,0.0005,0.0006,0.2192,0.0804,0.0317,0.0033,0.0052,0.0021,0.0513,0.0004,0.0368,0.0715,0.0608,0.2035,0.2035,0.0205,0.1234,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.578,0.0475,0.4117,0.0524,0.0864,0.0271,0.0800,0.0026,0.0178,0.0107,0.0864,0.0190,0.0992,0.0475,0.3448,0.0004,0.0011,0.0271,0.0173,0.0026,0.2437,0.5763,0.2049,0.2648,0.1639,0.0142,0.0119,0.0476,0.0022,0.0321,0.0016,0.0864,0.2197,0.0013,0.0005,0.0006,0.2197,0.0864,0.0301,0.0321,0.0050,0.0021,0.0512,0.0004,0.0377,0.0992,0.0524,0.2018,0.2018,0.0205,0.1347,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.623,0.0475,0.4172,0.0476,0.0849,0.0226,0.0800,0.0025,0.0178,0.0100,0.0870,0.0190,0.0991,0.0475,0.3480,0.0004,0.0011,0.0226,0.0173,0.0026,0.2436,0.5764,0.2047,0.2641,0.1709,0.0142,0.0119,0.0467,0.0022,0.0241,0.0016,0.0849,0.2276,0.0012,0.0005,0.0006,0.2276,0.0849,0.0303,0.0241,0.0049,0.0021,0.0496,0.0004,0.0378,0.0991,0.0476,0.1560,0.1560,0.0205,0.1419,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.666,0.0475,0.4470,0.0428,0.0893,0.0185,0.0800,0.0025,0.0178,0.0096,0.0870,0.0189,0.0930,0.0475,0.3745,0.0004,0.0011,0.0185,0.0174,0.0025,0.2436,0.5760,0.2047,0.2603,0.1775,0.0142,0.0120,0.0459,0.0022,0.0194,0.0016,0.0893,0.2307,0.0012,0.0005,0.0006,0.2307,0.0893,0.0307,0.0194,0.0048,0.0020,0.0483,0.0004,0.0378,0.0930,0.0428,0.1575,0.1575,0.0205,0.1480,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.700,0.0475,0.4470,0.0428,0.0893,0.0185,0.0800,0.0025,0.0178,0.0096,0.0870,0.0189,0.0930,0.0475,0.3745,0.0004,0.0011,0.0185,0.0174,0.0025,0.2436,0.5760,0.2047,0.2603,0.1775,0.0142,0.0120,0.0459,0.0022,0.0194,0.0016,0.0893,0.2307,0.0012,0.0005,0.0006,0.2307,0.0893,0.0307,0.0194,0.0048,0.0020,0.0483,0.0004,0.0378,0.0930,0.0428,0.1575,0.1575,0.0205,0.1480,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.744,0.0477,0.4542,0.0395,0.0888,0.0196,0.0799,0.0024,0.0177,0.0086,0.0876,0.0189,0.1127,0.0477,0.3814,0.0004,0.0011,0.0196,0.0167,0.0025,0.2437,0.5766,0.2047,0.2602,0.1944,0.0142,0.0123,0.0454,0.0021,0.0141,0.0016,0.0888,0.2391,0.0012,0.0005,0.0006,0.2391,0.0888,0.0307,0.0141,0.0046,0.0020,0.0473,0.0004,0.0387,0.1127,0.0395,0.1247,0.1247,0.0205,0.1660,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.789,0.0476,0.4593,0.0393,0.0907,0.0181,0.0799,0.0024,0.0177,0.0084,0.0871,0.0189,0.1262,0.0476,0.3872,0.0004,0.0011,0.0181,0.0151,0.0024,0.2437,0.5766,0.2047,0.2600,0.2044,0.0142,0.0123,0.0455,0.0021,0.0124,0.0016,0.0907,0.2335,0.0012,0.0005,0.0006,0.2335,0.0907,0.0302,0.0124,0.0045,0.0020,0.0464,0.0004,0.0388,0.1262,0.0393,0.1301,0.1301,0.0204,0.1759,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.823,0.0474,0.4634,0.0384,0.0800,0.0153,0.0799,0.0023,0.0177,0.0080,0.0871,0.0189,0.1227,0.0474,0.3917,0.0004,0.0011,0.0153,0.0150,0.0024,0.2438,0.5808,0.2047,0.2610,0.2120,0.0142,0.0126,0.0450,0.0021,0.0111,0.0015,0.0800,0.2377,0.0012,0.0005,0.0006,0.2377,0.0800,0.0300,0.0111,0.0044,0.0020,0.0457,0.0004,0.0388,0.1227,0.0384,0.0595,0.0595,0.0204,0.1842,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.867,0.0468,0.4689,0.0375,0.0737,0.0158,0.0799,0.0023,0.0177,0.0076,0.0882,0.0189,0.1067,0.0468,0.3959,0.0004,0.0011,0.0158,0.0166,0.0024,0.2461,0.5836,0.2049,0.2623,0.2143,0.0142,0.0128,0.0444,0.0021,0.0100,0.0015,0.0737,0.2445,0.0012,0.0005,0.0006,0.2445,0.0737,0.0308,0.0100,0.0043,0.0020,0.0451,0.0004,0.0388,0.1067,0.0375,0.0574,0.0574,0.0204,0.1873,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.902,0.0468,0.4689,0.0375,0.0737,0.0158,0.0799,0.0023,0.0177,0.0076,0.0882,0.0189,0.1067,0.0468,0.3959,0.0004,0.0011,0.0158,0.0166,0.0024,0.2461,0.5836,0.2049,0.2623,0.2143,0.0142,0.0128,0.0444,0.0021,0.0100,0.0015,0.0737,0.2445,0.0012,0.0005,0.0006,0.2445,0.0737,0.0308,0.0100,0.0043,0.0020,0.0451,0.0004,0.0388,0.1067,0.0375,0.0574,0.0574,0.0204,0.1873,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.946,0.0471,0.4732,0.0367,0.0679,0.0129,0.0798,0.0023,0.0177,0.0074,0.0885,0.0190,0.0827,0.0471,0.3996,0.0004,0.0011,0.0129,0.0180,0.0023,0.2484,0.5888,0.2053,0.2648,0.2173,0.0142,0.0130,0.0440,0.0021,0.0092,0.0015,0.0679,0.2309,0.0012,0.0005,0.0006,0.2309,0.0679,0.0308,0.0092,0.0042,0.0019,0.0445,0.0004,0.0388,0.0827,0.0367,0.0460,0.0460,0.0204,0.1908,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.989,0.0470,0.4737,0.1051,0.0633,0.0098,0.0794,0.0022,0.0177,0.0073,0.0911,0.0190,0.0546,0.0470,0.4005,0.0004,0.0011,0.0098,0.0320,0.0023,0.2494,0.5889,0.2054,0.2652,0.2173,0.0142,0.0133,0.0436,0.0022,0.0084,0.0015,0.0633,0.1999,0.0012,0.0005,0.0006,0.1999,0.0633,0.0310,0.0084,0.0042,0.0020,0.0441,0.0004,0.0388,0.0546,0.1051,0.0433,0.0433,0.0204,0.1908,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
